Time;01-Farge;04-Turbiditet;06-E.coli;07-Intestinale enterokokker;08-Kimtall 22°C;09-Koliforme bakterier 37°C;21-Arsen;24-Bly;32-Kadmium;36-Kopper filtrert;37-Krom;41-Nikkel;Sink (Zn)
2023-12-11T12:00:00;#N/A;#N/A;1;#N/A;38;6;0.03;0.1;0.001;0.0014;0.1;0.27;5.1
2023-12-18T12:00:00;11;0.14;3;2;220;19;0.028;0.092;0.001;0.0013;0.088;0.25;4.4
2024-01-02T12:00:00;#N/A;#N/A;0;#N/A;140;24;0.027;0.11;0.001;0.0012;0.079;0.16;5.7
2024-01-08T12:00:00;#N/A;#N/A;2;#N/A;73;19;0.024;0.1;0.001;0.0012;0.055;0.21;4.5
2024-01-15T12:00:00;12;0.26;0;1;72;12;0.021;0.088;0.001;0.00098;0.01;0.19;3.9
2024-01-22T12:00:00;#N/A;#N/A;2;#N/A;77;10;0.031;0.034;0.001;0.0014;0.068;0.23;2.2
2024-01-29T12:00:00;#N/A;#N/A;2;#N/A;61;12;0.056;0.095;0.001;0.0011;0.55;0.23;22
2024-02-05T12:00:00;#N/A;#N/A;1;#N/A;130;13;0.028;0.11;0.001;0.001;0.075;0.18;4.7
2024-02-12T12:00:00;12;0.36;0;0;68;8;0.022;0.11;0.001;0.0011;0.061;0.11;5.1
2024-02-19T12:00:00;#N/A;#N/A;0;#N/A;55;4;0.027;0.11;0.001;0.0012;0.075;0.19;5
2024-02-26T12:00:00;#N/A;#N/A;1;#N/A;76;5;0.026;0.11;0.001;0.0012;0.084;0.28;4.7
2024-03-04T12:00:00;#N/A;#N/A;0;#N/A;56;7;0.02;0.12;0.001;0.0011;0.08;0.17;4.5
2024-03-11T12:00:00;11;0.05;0;0;42;8;0.024;0.11;0.001;0.0011;0.075;0.14;4.1
2024-03-19T12:00:00;#N/A;#N/A;0;#N/A;130;9;0.027;0.21;0.004;0.0018;0.073;0.29;#N/A
2024-04-02T12:00:00;#N/A;#N/A;0;#N/A;73;1;0.032;0.16;0.004;0.0018;0.092;0.32;6.2
2024-04-08T12:00:00;11;0.11;0;0;28;3;0.023;0.15;0.004;0.0013;0.069;0.11;4.6
2024-04-15T12:00:00;#N/A;#N/A;0;#N/A;36;1;0.028;0.13;0.001;0.0018;0.01;0.22;4.9
2024-04-22T12:00:00;#N/A;#N/A;0;#N/A;28;1;0.028;0.15;0.001;0.0015;0.074;0.23;6.5
2024-04-30T12:00:00;#N/A;#N/A;#N/A;#N/A;19;#N/A;0.025;0.14;0.001;0.0011;0.085;0.38;4.7
2024-05-06T12:00:00;11;0.05;0;0;39;0;0.025;0.17;0.001;0.0015;0.069;0.051;4.7
2024-05-13T12:00:00;#N/A;#N/A;0;#N/A;21;1;0.025;0.15;0.001;0.0016;0.071;0.01;4.3
2024-05-21T12:00:00;#N/A;#N/A;0;#N/A;26;0;0.031;0.39;0.004;0.0034;0.069;0.39;#N/A
2024-05-27T12:00:00;#N/A;#N/A;0;#N/A;19;0;0.03;0.18;0.001;0.0015;0.05;0.01;5.7
2024-06-03T12:00:00;11;0.13;0;0;27;2;0.029;0.17;0.001;0.0018;0.093;0.24;4.7
2024-06-10T12:00:00;#N/A;#N/A;0;#N/A;34;0;0.022;0.2;0.001;0.0014;0.01;0.01;4.4
2024-06-17T12:00:00;#N/A;#N/A;0;#N/A;47;1;0.025;0.16;0.001;0.0019;0.01;0.23;5.2
2024-06-24T12:00:00;#N/A;#N/A;0;#N/A;60;1;0.022;0.15;0.001;0.0019;0.061;0.01;5.6
2024-07-01T12:00:00;11;0.05;0;0;27;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-07-08T12:00:00;#N/A;#N/A;0;#N/A;35;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-07-15T12:00:00;#N/A;#N/A;0;#N/A;25;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-07-22T12:00:00;#N/A;#N/A;0;#N/A;26;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-07-29T12:00:00;10;0.36;1;0;69;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-08-05T12:00:00;#N/A;#N/A;0;#N/A;79;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-08-12T12:00:00;#N/A;#N/A;1;#N/A;100;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-08-19T12:00:00;#N/A;#N/A;0;#N/A;120;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-08-26T12:00:00;10;0.81;0;0;83;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-09-02T12:00:00;#N/A;#N/A;0;#N/A;91;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-09-09T12:00:00;#N/A;#N/A;1;#N/A;65;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-09-16T12:00:00;#N/A;#N/A;0;#N/A;68;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-09-23T12:00:00;10;0.27;0;0;220;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-09-30T12:00:00;#N/A;#N/A;1;#N/A;54;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-10-07T12:00:00;#N/A;#N/A;0;#N/A;17;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-10-14T12:00:00;#N/A;#N/A;0;#N/A;36;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-10-21T12:00:00;10;0.29;0;0;29;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-10-28T12:00:00;#N/A;#N/A;0;#N/A;59;7;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-11-04T12:00:00;#N/A;#N/A;0;#N/A;58;28;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-11-11T12:00:00;#N/A;#N/A;3;#N/A;57;38;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-11-18T12:00:00;12;0.05;4;0;60;29;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-11-25T12:00:00;#N/A;#N/A;1;#N/A;110;18;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-03T12:00:00;#N/A;#N/A;17;#N/A;64;29;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-04T12:00:00;#N/A;#N/A;11;2;15;25;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
